index,true_output_0,pred_output_0
183,0.2755303,0.1552708
184,0.056492426,0.103078716
185,0.0026363637,0.062935725
186,0.00025,0.07454905
187,0.00033333333,0.10931151
188,0.13385606,0.17065045
189,0.106113635,0.11416837
190,0.07054546,0.062315285
191,0.07993182,0.10582363
192,0.00063636363,0.11429865
193,0.19487122,0.18190743
194,0.15340151,0.16606939
195,0.03510606,0.11055924
196,0.011113636,0.073057815
197,0.045795456,0.0543451
198,0.0052348487,0.105527736
199,0.009833333,0.081631295
200,0.00041666668,0.14064258
201,0.0074015153,0.075575076
202,0.011416666,0.047989964
203,0.0005,0.06388641
204,1.0588106,1.0562996
205,0.026787879,0.06835347
206,0.1875,0.14618526
207,0.2776212,0.1432069
208,0.46640152,0.25126302
209,0.035007577,0.091473594
210,0.14262122,0.12605558
211,0.00033333333,0.07810247
212,0.39941666,0.16647384
213,0.2774394,0.13859561
214,0.013666667,0.076849066
215,0.48626515,0.35771596
216,0.20691666,0.16544664
217,0.0632803,0.089704484
218,0.14696212,0.090239465
219,0.0008787879,0.11394115
220,0.057916667,0.06289107
221,0.15037121,0.116776414
222,8.333333e-05,0.07450657
223,0.11059091,0.10183713
224,0.62803787,0.5690403
225,0.01225,0.069548875
226,0.0041060606,0.10747799
227,0.001340909,0.11171191
228,0.2769015,0.13363704
229,0.27688637,0.13730985
230,0.19249243,0.11797887
231,0.00025,0.14368656
232,0.16773485,0.15025178
233,0.00033333333,0.05143232
234,0.28098485,0.2185877
235,0.25127274,0.21672714
236,0.0028484848,0.06579627
237,0.03290909,0.094027296
238,0.13296969,0.18195231
239,0.024204545,0.08982244
240,0.046818182,0.10492186
241,0.16890152,0.08072998
242,0.00010606061,0.07097033
243,0.00025,0.09846233
244,0.110515155,0.09082337
245,0.16577272,0.07345548
246,0.16536364,0.06906302
247,0.21689394,0.11106396
248,0.11594697,0.10262311
249,0.2628485,0.20183215
250,0.017537879,0.08540665
251,0.020560605,0.06107647
252,0.069416665,0.104608
253,0.18880303,0.06957414
254,0.3330909,0.14174479
255,0.14981061,0.109327346
256,0.06683333,0.11349561
257,0.020530304,0.1076535
258,0.00096969696,0.11159547
259,0.03755303,0.0826363
260,1.1276591,0.5245917
261,0.18694697,0.06411767
262,0.45287877,0.38363314
263,0.27738637,0.18313304
264,0.44661364,0.37496823
265,0.10410606,0.10031938
266,0.21468939,0.11335392
267,0.19083333,0.15161645
268,0.0029166667,0.07692541
269,0.1455,0.09984695
270,0.00031818182,0.073648915
271,0.0007272727,0.10463728
272,0.15046212,0.07616599
273,0.20431061,0.16378094
274,0.19191666,0.114071086
275,0.004583333,0.05505848
276,0.00048484848,0.1161393
277,0.0059166667,0.09644377
278,0.105871215,0.14663479
279,8.333333e-05,0.09364849
280,0.043689393,0.09562368
281,0.0009772727,0.074126214
282,0.1895,0.124016166
283,0.06290909,0.05960594
284,0.004,0.1339864
285,0.010613636,0.13113439
286,0.2362197,0.10836309
287,0.688697,0.8657624
288,0.15235606,0.09081957
289,0.00015909091,0.07042449
290,0.16883333,0.14349842
291,0.19483334,0.15773432
292,0.1065606,0.061974324
293,0.0028257575,0.067502156
294,0.029037878,0.1377483
295,0.07150757,0.07308054
296,0.10456818,0.11227275
297,0.078227274,0.09480967
298,0.20502272,0.089067325
299,0.4775,0.32276434
300,0.4348485,0.11598621
301,0.02255303,0.10614327
302,0.0010833333,0.05379592
303,0.14321212,0.06221524
304,0.041636363,0.15080985
305,0.07985606,0.14219508
306,0.1585,0.06328506
307,0.61691666,0.60410357
308,0.16434091,0.119873196
309,0.2295,0.15264532
310,0.27828032,0.20115466
311,0.17677273,0.0677219
312,0.00077272725,0.11183199
313,0.3880909,0.1315653
314,0.19652273,0.111453086
315,0.3223182,0.11464473
316,0.02460606,0.1207387
317,0.11662879,0.16901487
318,0.045151517,0.09840663
319,0.009742424,0.07231516
320,0.16175,0.10532214
321,0.00033333333,0.11985255
322,0.2768409,0.20595519
323,0.01389394,0.11042478
324,0.06687879,0.10306598
325,0.2738182,0.12908068
326,0.0008636364,0.10902392
327,0.64842427,0.5562051
328,0.0011439394,0.076087676
329,0.082363635,0.11568166
330,0.0001439394,0.176343
331,0.0041287877,0.10422056
332,0.011848485,0.10711275
333,0.00025,0.25107068
334,0.06404545,0.09841635
335,0.47280303,0.34251875
336,0.46929544,0.37917945
337,0.42880303,0.31771994
338,0.47641668,0.44864988
339,0.00125,0.06334312
340,0.14615151,0.1036751
341,0.27589393,0.20397826
342,0.058916666,0.31452215
343,0.1339394,0.09925063
344,0.12021212,0.07088953
345,0.07094697,0.06945315
346,0.47809848,0.3774408
347,0.038992424,0.15067019
348,0.00066666666,0.07260558
349,0.07918182,0.07367798
350,0.13078788,0.09933803
351,0.21263637,0.071219824
352,0.16318181,0.14925975
353,0.17055303,0.08700472
354,8.333333e-05,0.09428569
355,0.38093182,0.12144284
356,0.00025,0.0809573
357,0.008871212,0.06942426
358,0.00016666666,0.055176876
359,0.2777803,0.17594226
360,0.12796213,0.5662097
361,0.27269697,0.12815624
362,0.4699697,0.41663128
363,0.44952273,0.11020294
364,0.18837878,0.062215075
365,0.070280306,0.10716202
366,0.19124243,0.10393421
367,0.02880303,0.20179774
368,0.2770606,0.20471117
369,0.00225,0.05980081
370,0.09718182,0.14499128
371,0.15307575,0.18464582
372,0.19048485,0.14229706
373,0.12234849,0.09606138
374,0.4711515,0.35347956
375,0.0641894,0.059033386
376,0.20418939,0.12214047
377,0.12388636,0.06879012
378,0.1922803,0.08003968
379,0.11918182,0.06975413
380,0.09574243,0.069767684
381,0.40741667,0.11268011
382,0.6797424,0.5548168
383,0.59281063,0.40887082
384,0.023568181,0.097429425
385,0.037560605,0.10558701
386,0.0078030303,0.0733134
387,0.17878787,0.12085499
388,0.02675,0.21228833
389,0.36562878,0.46677244
390,0.00025,0.06039212
391,0.20258333,0.06997958
392,8.333333e-05,0.10051973
393,0.009303031,0.11139462
394,0.117825754,0.063414015
395,0.08879545,0.068323046
396,0.035992425,0.15580481
397,0.20965908,0.1453001
398,0.18959092,0.12413751
399,0.12515908,0.086397104
400,0.15666667,0.10109334
401,0.0043939394,0.0798072
402,0.035075758,0.12682366
403,0.4776894,0.41661054
404,0.08550758,0.09814078
405,0.26664394,0.16225435
406,0.004219697,0.07044173
407,0.0012878788,0.1062319
408,0.09015909,0.09246464
409,0.33375,0.12234163
410,0.010818182,0.1039114
411,0.3414697,0.4855438
412,0.00031818182,0.11458086
413,0.14250758,0.062731914
414,0.094272725,0.06303999
415,0.0017575758,0.11422852
416,0.16836363,0.06610901
417,0.08392424,0.125689
418,0.09815909,0.062520206
419,0.09935606,0.108576916
420,0.07651515,0.14316417
421,0.00016666666,0.07139614
422,0.010280303,0.11255829
423,0.16986364,0.16290289
424,0.42020455,0.13763702
425,0.023946969,0.057488948
426,0.00096212124,0.071078174
427,0.00075,0.1188583
428,0.00041666668,0.12614541
429,0.007598485,0.06746674
430,0.20109849,0.10020654
431,0.0042348485,0.09081583
432,0.01734091,0.106504336
433,0.05789394,0.14430538
434,0.024598485,0.20520379
435,0.008977273,0.06808369
436,0.0062272726,0.056440428
437,0.26182577,0.18494286
438,0.03181818,0.115260705
439,0.0005,0.0438506
440,0.111386366,0.10355851
441,0.024795454,0.11708896
442,7.5757575e-06,0.08820037
443,0.089833334,0.18195334
444,0.023583334,0.061037466
445,0.016810605,0.10729095
446,0.00026515152,0.058194883
447,0.20313637,0.08935718
448,0.47412878,0.24744451
449,0.015106061,0.10677114
450,0.71238637,0.48711818
451,0.42392424,0.35721427
452,0.007984849,0.068431884
453,0.031060606,0.08891596
454,0.071969695,0.06966688
455,0.6918712,0.7014099
456,0.2664394,0.18947425
457,0.09458333,0.082165256
458,0.05564394,0.14411409
459,0.11723485,0.10200535
460,0.14309849,0.11135608
461,0.183,0.10402149
462,0.100901514,0.060799465
463,0.16794696,0.06393005
464,0.19733334,0.13013986
465,0.1660909,0.069440424
466,0.22588636,0.1834067
467,0.27755302,0.15621534
468,0.03676515,0.12555236
469,0.4769091,0.25359523
470,0.07487879,0.14403915
471,0.0003409091,0.071362324
472,0.031712122,0.052798845
473,1.436856,1.4657364
474,0.2502803,0.14196488
475,0.070083335,0.069714576
476,0.12667425,0.09451674
477,0.113651514,0.15803139
478,0.19305304,0.070051126
479,0.38389394,0.14722028
480,8.333333e-05,0.11155468
481,0.18568182,0.06979393
482,0.003590909,0.1146706
483,0.032083333,0.13902678
484,0.14843939,0.08015044
485,0.016734848,0.073088035
486,0.08800758,0.094817996
487,0.4548409,0.21615283
488,0.12165909,0.06253391
489,0.07269697,0.06346617
490,0.14921212,0.08311792
491,0.020007575,0.118048355
492,8.333333e-05,0.061535202
493,0.01425,0.35372293
494,0.096757576,0.053565957
495,0.20983334,0.20673274
496,0.46337122,0.28659528
497,0.1749697,0.18006353
498,0.10983333,0.18181407
499,0.36635607,0.30260336
500,0.024484849,0.12475798
501,0.00016666666,0.107982814
502,0.082666665,0.14399128
503,0.1573106,0.16203088
504,0.27746212,0.19043733
505,0.00066666666,0.08117401
506,0.22390151,0.16150421
507,0.06644697,0.08139881
508,0.16499242,0.10731861
509,0.19878788,0.06971183
510,0.24468182,0.21730028
511,0.00075,0.07597816
512,0.7257197,0.5864668
513,0.09071212,0.063378185
514,0.15880303,0.057385437
515,0.43966666,0.12631828
516,0.13525757,0.060456656
517,0.18160605,0.12509573
518,0.053037878,0.1006031
519,0.080242425,0.10948104
520,0.03764394,0.06181187
521,0.14048485,0.06090457
522,8.333333e-05,0.089857765
523,0.0073787877,0.069675446
524,0.00025,0.15235816
525,0.00041666668,0.12024132
526,0.012553031,0.10351902
527,0.13704546,0.10840413
528,0.22042425,0.10782674
529,0.19241667,0.1384606
530,0.09401515,0.10506754
531,0.13749242,0.062057473
532,0.0025075758,0.075289495
533,0.00017424242,0.0914226
534,0.00016666666,0.13349462
535,0.2214697,0.15334648
536,0.067530304,0.06862946
537,0.014333333,0.10663119
538,0.10919697,0.10910238
539,0.09540152,0.10338101
540,0.0095833335,0.099503115
541,0.053810608,0.106295355
542,0.23790151,0.100563966
543,0.06690909,0.15628296
544,0.07475,0.10397841
545,0.0024242424,0.1196892
546,0.19917424,0.09611024
547,0.011878788,0.07348807
548,0.4426212,0.13091087
549,0.18904546,0.068674706
550,0.13773485,0.13287628
551,0.001,0.11052586
552,0.44347727,0.45238376
553,0.14512122,0.06757361
554,0.466,0.5300473
555,0.21062121,0.16541998
556,0.23716667,0.176632
557,0.00020454546,0.07302114
558,0.060825758,0.0650137
559,0.00033333333,0.139616
560,0.34607574,0.21284488
561,0.009166666,0.07348174
562,0.14465909,0.061717033
563,0.055901516,0.5918108
564,0.27713636,0.13606913
565,0.6776515,0.69733095
566,0.4505909,0.17966485
567,0.107795455,0.06973632
568,0.0061666667,0.056226343
569,8.333333e-05,0.11854981
570,0.27724242,0.17273846
571,0.0049166665,0.06084177
572,8.333333e-05,0.09731633
573,2.2727272e-05,0.06504542
574,0.16669697,0.119314596
575,0.30198485,0.2690138
576,0.00025,0.112740465
577,0.17257576,0.124144
578,0.044795454,0.13001676
